GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
OOP Core NLP,io.outofprintmagazine.util,ParameterStoreJsonObject,60,0,6,0,18,0,10,0,7,0
OOP Core NLP,io.outofprintmagazine.util,ParameterStorePropertiesFile,85,0,4,0,26,0,11,0,9,0
OOP Core NLP,io.outofprintmagazine.util,ParameterStoreProperties,18,21,2,0,6,7,5,4,4,4
OOP Core NLP,io.outofprintmagazine.util,AggregatedScore,30,87,0,2,8,26,3,11,3,10
OOP Core NLP,io.outofprintmagazine.util,ScoreStats,25,23,0,0,7,7,3,4,3,4
OOP Core NLP,io.outofprintmagazine.util,AggregateScore,25,59,0,0,5,19,1,10,1,10
OOP Core NLP,io.outofprintmagazine.util,DocumentAggregateScore,31,39,0,0,8,14,3,7,3,7
OOP Core NLP,io.outofprintmagazine.util,Stats,30,72,0,0,6,23,1,12,1,12
OOP Core NLP,io.outofprintmagazine.util,Score,51,46,0,0,13,15,3,8,3,8
OOP Core NLP,io.outofprintmagazine.nlp.pipeline.annotators.conditional,BecauseAnnotator,34,74,0,6,5,19,2,9,2,6
OOP Core NLP,io.outofprintmagazine.nlp.pipeline.annotators.conditional,IfAnnotator,34,74,0,6,5,19,2,9,2,6
OOP Core NLP,io.outofprintmagazine.nlp.pipeline.annotators.simile,AsAnnotator,6,74,0,6,3,19,1,9,1,6
OOP Core NLP,io.outofprintmagazine.nlp.pipeline.annotators.simile,LikeAnnotator,6,74,0,6,3,19,1,9,1,6
OOP Core NLP,io.outofprintmagazine.util.resource,WikipediaListLoader,222,0,22,0,53,0,18,0,7,0
OOP Core NLP,io.outofprintmagazine.nlp.utils,TextUtils,146,0,6,0,33,0,7,0,4,0
OOP Core NLP,io.outofprintmagazine.nlp.utils,FlickrUtils.new Comparator() {...},20,0,0,0,2,0,2,0,2,0
OOP Core NLP,io.outofprintmagazine.nlp.utils,FlickrUtils.new Comparator() {...},20,0,0,0,2,0,2,0,2,0
OOP Core NLP,io.outofprintmagazine.nlp.utils,FlickrUtils.new Comparator() {...},17,0,0,0,2,0,2,0,2,0
OOP Core NLP,io.outofprintmagazine.nlp.utils,WikipediaUtils,87,543,15,27,23,106,13,24,1,15
OOP Core NLP,io.outofprintmagazine.nlp.utils,NGramUtils.NGramPhraseScore,26,0,0,0,7,0,1,0,1,0
OOP Core NLP,io.outofprintmagazine.nlp.utils,WikimediaUtils,12,168,1,9,4,36,3,9,2,5
OOP Core NLP,io.outofprintmagazine.nlp.utils,WiktionaryUtils,35,230,5,17,10,52,4,15,0,8
OOP Core NLP,io.outofprintmagazine.nlp.utils,NGramUtils,484,0,46,0,112,0,35,0,12,0
OOP Core NLP,io.outofprintmagazine.nlp.utils,CoreNlpUtils,634,457,85,27,121,87,55,27,11,15
OOP Core NLP,io.outofprintmagazine.nlp.utils,HttpUtils.StringResponseHandler,37,0,4,0,10,0,4,0,2,0
OOP Core NLP,io.outofprintmagazine.nlp.utils,WikimediaUtils.ImageInfoPageHandler,0,65,3,7,0,14,3,5,0,3
OOP Core NLP,io.outofprintmagazine.nlp.utils,WikimediaUtils.ImagePageHandler,0,57,3,7,0,14,3,5,0,3
OOP Core NLP,io.outofprintmagazine.nlp.utils,FacePlusPlusUtils,105,0,4,0,21,0,7,0,5,0
OOP Core NLP,io.outofprintmagazine.nlp.utils,HttpUtils.JsonResponseHandler,6,35,2,2,1,9,2,2,0,2
OOP Core NLP,io.outofprintmagazine.nlp.utils,WikipediaUtils.PagesForTopicPageHandler,5,61,8,8,0,13,7,4,0,3
OOP Core NLP,io.outofprintmagazine.nlp.utils,HttpUtils,86,538,6,10,16,104,10,21,6,17
OOP Core NLP,io.outofprintmagazine.nlp.utils,WikipediaUtils.ExtractsPageHandler,0,93,6,10,0,23,6,5,0,3
OOP Core NLP,io.outofprintmagazine.nlp.utils,PerfecttenseUtils,124,0,4,0,28,0,6,0,4,0
OOP Core NLP,io.outofprintmagazine.nlp.utils,WikipediaUtils.CategoriesForTopicPageHandler,0,258,33,63,0,61,33,18,0,3
OOP Core NLP,io.outofprintmagazine.nlp.utils,BingUtils,286,0,20,0,53,0,18,0,8,0
OOP Core NLP,io.outofprintmagazine.nlp.utils,FlickrUtils,447,0,18,0,107,0,18,0,9,0
OOP Core NLP,io.outofprintmagazine.nlp.utils,HttpUtils.new ServiceUnavailableRetryStrategy() {...},7,21,5,3,1,3,5,2,1,2
OOP Core NLP,io.outofprintmagazine.nlp.utils,WiktionaryUtils.PageHandler,0,64,3,7,0,15,3,5,0,3
OOP Core NLP,io.outofprintmagazine.nlp.utils,WordnetUtils,125,1030,36,114,30,222,31,70,1,25
OOP Core NLP,io.outofprintmagazine.nlp.utils,NGramUtils.NGramScore,12,0,0,0,3,0,1,0,1,0
OOP Core NLP,io.outofprintmagazine.nlp.utils,ResourceUtils,6,147,0,10,2,36,2,14,2,9
OOP Core NLP,io.outofprintmagazine.nlp.pipeline.annotators,PronounAnnotator,2,113,3,11,1,22,4,9,1,5
OOP Core NLP,io.outofprintmagazine.nlp.pipeline.annotators,AdverbsAnnotator,2,110,0,10,1,21,1,10,1,5
OOP Core NLP,io.outofprintmagazine.nlp.pipeline.annotators,TopicsAnnotator,26,126,0,8,3,24,2,9,2,5
OOP Core NLP,io.outofprintmagazine.nlp.pipeline.annotators,AmericanizeAnnotator,7,89,0,6,3,20,1,8,1,5
OOP Core NLP,io.outofprintmagazine.nlp.pipeline.annotators,SVOAnnotator,103,428,9,57,16,77,10,30,2,5
OOP Core NLP,io.outofprintmagazine.nlp.pipeline.annotators,ActionlessVerbsAnnotator,2,127,1,9,1,21,2,9,1,5
