GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
OOP Corpus,io.outofprintmagazine.corpus.storage.file,FileScratchStorage,110,188,9,7,30,51,13,14,7,12
OOP Corpus,io.outofprintmagazine.corpus.storage.file,FileBatchStorage,307,0,16,0,77,0,26,0,18,0
OOP Corpus,io.outofprintmagazine.corpus.batch.impl,CoreNLPZScores,594,0,48,0,106,0,31,0,7,0
OOP Corpus,io.outofprintmagazine.corpus.batch.impl,BuildWord2VecModels.NodeToToken,14,0,0,0,2,0,2,0,2,0
OOP Corpus,io.outofprintmagazine.corpus.batch.impl,TomcatExport,198,0,8,0,58,0,10,0,6,0
OOP Corpus,io.outofprintmagazine.corpus.batch.impl,BuildWord2VecModels.NodeToString,6,0,0,0,1,0,1,0,1,0
OOP Corpus,io.outofprintmagazine.corpus.batch.impl,ImportDirectory.DynamicFilter,17,0,0,0,5,0,2,0,2,0
OOP Corpus,io.outofprintmagazine.corpus.batch.impl,BuildWord2VecModels.NodeToLemma_POS,21,0,0,0,2,0,2,0,2,0
OOP Corpus,io.outofprintmagazine.corpus.batch.impl,BuildWord2VecModels.NodeToLemma,14,0,0,0,2,0,2,0,2,0
OOP Corpus,io.outofprintmagazine.corpus.batch.impl,Stamper,112,0,10,0,30,0,10,0,5,0
OOP Corpus,io.outofprintmagazine.corpus.batch.impl,BuildWord2VecModels,280,0,20,0,68,0,17,0,7,0
OOP Corpus,io.outofprintmagazine.corpus.batch.impl,FilterOutput,127,0,16,0,33,0,14,0,6,0
OOP Corpus,io.outofprintmagazine.corpus.batch.impl,HttpDownload.PropertiesResponseHandler,142,0,18,0,27,0,11,0,2,0
OOP Corpus,io.outofprintmagazine.corpus.batch.impl,Polly,187,0,6,0,41,0,8,0,5,0
OOP Corpus,io.outofprintmagazine.corpus.batch.impl,HttpDownload,236,0,2,0,56,0,8,0,7,0
OOP Corpus,io.outofprintmagazine.corpus.batch.impl,CoreNLPTfidfScores,208,0,16,0,46,0,13,0,5,0
OOP Corpus,io.outofprintmagazine.corpus.batch.impl,Analyze,583,0,8,0,139,0,9,0,5,0
OOP Corpus,io.outofprintmagazine.corpus.batch.impl,GenerateDocID,2,28,0,0,1,10,1,3,1,3
OOP Corpus,io.outofprintmagazine.corpus.batch.impl,ExtractText,14,104,2,2,5,33,3,4,1,4
OOP Corpus,io.outofprintmagazine.corpus.batch.impl,CleanText,2,180,1,3,1,40,2,5,1,4
OOP Corpus,io.outofprintmagazine.corpus.batch.impl,CorpusAggregate,1272,0,66,0,305,0,46,0,13,0
OOP Corpus,io.outofprintmagazine.corpus.batch.impl,CoreNLPMyersBriggsScores,202,0,10,0,39,0,10,0,5,0
OOP Corpus,io.outofprintmagazine.corpus.batch.impl,HttpDownload.new ServiceUnavailableRetryStrategy() {...},34,0,8,0,4,0,7,0,3,0
OOP Corpus,io.outofprintmagazine.corpus.batch.impl,ImportDirectory,239,0,18,0,63,0,16,0,7,0
OOP Corpus,io.outofprintmagazine.corpus.batch,CorpusBatchStep,466,365,44,10,120,72,56,23,31,21
OOP Corpus,io.outofprintmagazine.corpus.batch,ThreadedCorpusBatchStepTask,35,0,0,0,13,0,6,0,6,0
OOP Corpus,io.outofprintmagazine.corpus.batch,CorpusBatch,681,0,24,0,149,0,34,0,22,0
OOP Corpus,io.outofprintmagazine.corpus.batch,ThreadedCorpusBatchStep,325,0,38,0,68,0,27,0,8,0
OOP Corpus,io.outofprintmagazine.corpus.batch.impl.ebook,ParseTOC,2,277,5,43,1,60,6,22,1,3
OOP Corpus,io.outofprintmagazine.corpus.batch.impl.ebook,ParseStory,73,180,8,20,26,47,9,9,1,3
OOP Corpus,io.outofprintmagazine.corpus.batch.impl.wikisource,ParseTOC,114,0,10,0,27,0,10,0,5,0
OOP Corpus,io.outofprintmagazine.corpus.batch.impl.wikisource,ParseStory,74,0,0,0,21,0,5,0,5,0
OOP Corpus,io.outofprintmagazine.corpus.batch.impl.gutenberg,ParseTOC,2,137,1,7,1,40,2,7,1,4
OOP Corpus,io.outofprintmagazine.corpus.batch.impl.gutenberg,ParseTableTOC,2,129,2,6,1,30,3,6,1,4
OOP Corpus,io.outofprintmagazine.corpus.batch.impl.gutenberg,ParseArchive,82,0,0,0,19,0,4,0,4,0
OOP Corpus,io.outofprintmagazine.corpus.batch.impl.gutenberg,ParseStory,65,132,4,12,25,34,5,8,1,4
OOP Corpus,io.outofprintmagazine.corpus.batch.impl.gutenberg,ParseBodyStory,65,138,4,14,25,36,5,9,1,4
OOP Corpus,io.outofprintmagazine.corpus.storage.s3,S3Utils,49,0,2,0,12,0,5,0,4,0
OOP Corpus,io.outofprintmagazine.corpus.storage.s3,S3ScratchStorage,360,0,6,0,97,0,28,0,25,0
OOP Corpus,io.outofprintmagazine.corpus.storage.s3,AwsUtils,65,0,2,0,13,0,6,0,5,0
OOP Corpus,io.outofprintmagazine.corpus.storage.s3,S3BatchStorage,276,0,8,0,71,0,25,0,21,0
OOP Corpus,io.outofprintmagazine.corpus.batch.model,CorpusBatchModel,65,0,0,0,26,0,15,0,15,0
OOP Corpus,io.outofprintmagazine.corpus.batch.model,CorpusBatchStepModel,24,57,0,0,9,22,6,12,6,12
OOP Corpus,io.outofprintmagazine.corpus.batch.model,CorpusBatchStepItemModel,53,0,0,0,22,0,13,0,13,0
